# R1  dR1 FWHM_R1  dFWHM_R1 R2 dR2 FWHM_R2  dFWHM_R2 A1  dA1 A2  dA2  B  dB
6.941711596690448687e+02 6.066330584132248460e-02 1.197323473496477941e+00 5.461560683707244318e-02 6.927713707766155267e+02 1.042211037148616792e-01 1.136398021175494044e+00 9.192721831077714512e-02 4.064712096686234588e+01 4.159996406551906389e+00 7.207736799829098118e+01 3.963461304182951395e+00 1.495133566185800689e+01 3.341224126525878524e-01
6.941710255519469683e+02 2.140585520538683048e-02 8.579474853322984762e-01 2.275317982551785384e-02 6.927889907506391864e+02 3.499202666577885118e-02 8.098039565050049182e-01 3.695812361996606010e-02 5.727584623015829379e+01 4.834684678645936984e+00 9.596634277604813690e+01 4.698397947749665349e+00 1.496163093308036451e+01 3.436996696536805396e-01
6.939042743401402049e+02 9.336310850754720586e-03 8.016397723860101410e-01 9.706230211142393219e-03 6.924907871348170829e+02 1.713083771098707075e-02 7.775622988996995222e-01 1.778121096987282310e-02 1.066866921519243334e+02 4.732841432095784562e+00 1.982121828378715804e+02 4.653193897888555419e+00 1.310642046516930748e+01 3.305809305334703740e-01
6.940619484106409800e+02 1.988622268566580739e-02 8.113974794788511025e-01 2.104454474952007978e-02 6.927055584416075362e+02 3.700052323334259569e-02 8.214284834822258574e-01 3.922423525419638929e-02 5.442631344361068813e+01 4.808220542910863315e+00 1.004905530074069304e+02 4.824018932306034735e+00 1.492552715741939728e+01 3.435734456635128886e-01
6.938467865629701237e+02 7.481987916552485657e-03 7.725976359981334696e-01 7.669533612385237217e-03 6.924234963192308214e+02 1.363918070997876056e-02 7.269514265158836253e-01 1.395673717976802716e-02 1.311624244443918599e+02 4.998059763413405854e+00 2.457234292892119640e+02 4.840621806591825838e+00 1.357071226268939235e+01 3.385613368746798746e-01
6.939770604156790341e+02 1.802959291103221201e-02 7.811934908354817297e-01 1.879342959998752186e-02 6.926030369004161003e+02 3.462111319569569079e-02 7.723295806195760171e-01 3.606671207404158613e-02 5.467188506136017168e+01 4.923452172505798252e+00 1.053589463007780580e+02 4.884780315362231562e+00 1.511302357831345056e+01 3.423124447897057387e-01
6.937772154199575425e+02 4.974314540377110759e-03 7.194842570827535422e-01 5.033731686796129139e-03 6.923388433720749617e+02 9.214467261345744148e-03 6.872951916249665505e-01 9.319517503640609504e-03 2.005306087043055072e+02 5.484393059217832267e+00 3.790572827743064295e+02 5.348872582750804128e+00 1.514367918528167145e+01 3.620235516868860470e-01
6.939393370235379734e+02 1.723433371903978703e-02 7.421792111252594193e-01 1.773579234828924836e-02 6.925625902199964230e+02 3.420411097933313826e-02 7.395812769502069228e-01 3.519757451854645114e-02 5.366889320185804735e+01 5.032822616685884043e+00 1.064588669203731257e+02 5.012596393733055322e+00 1.481253120074014618e+01 3.432667961955478408e-01
6.937471558402264691e+02 4.770197082325829639e-03 7.011904247586789873e-01 4.811976825573176589e-03 6.923066832141254281e+02 8.825802987900706331e-03 6.657363786892792623e-01 8.899242145166727513e-03 2.072276935371948525e+02 5.607136472759017387e+00 3.924810651274211750e+02 5.451478192287959601e+00 1.488019099822183122e+01 3.644479771351825659e-01
6.938550494814855938e+02 2.592578722941617231e-02 7.300811775640356771e-01 2.676723903822203487e-02 6.925057387098717072e+02 5.589195775517204895e-02 7.452999778687717791e-01 5.776442287189442054e-02 3.308435709558971638e+01 5.022820122518754538e+00 7.049553421339088288e+01 5.060205934244883963e+00 1.495386331028927351e+01 3.433647567010980617e-01
6.936755657621254159e+02 4.360259109626481513e-03 6.547780529275241124e-01 4.379219131357234285e-03 6.922295600193190239e+02 8.043351780109847179e-03 6.128918635415983029e-01 8.076094447922815833e-03 2.163723445520420796e+02 5.796867296587672413e+00 4.115211093413966523e+02 5.595555953066282839e+00 1.482352396580113840e+01 3.616042805479146582e-01
6.938192980060123318e+02 1.403390973734523067e-02 6.540998578550867304e-01 1.417329562773806534e-02 6.924462671134214133e+02 3.077944239532799317e-02 6.711169829768420803e-01 3.109335414465496869e-02 5.663276771107463503e+01 5.300679715518141322e+00 1.223383003061566683e+02 5.356544484826167185e+00 1.483392529653742820e+01 3.455812829449000367e-01
6.936454257864305646e+02 4.135868366420928331e-03 6.387736630173507235e-01 4.151219710588387006e-03 6.922022825122452332e+02 7.707631988436020043e-03 5.937303770523444379e-01 7.734187416311266716e-03 2.216883230268558407e+02 5.874882754858180789e+00 4.274739710628717830e+02 5.650879618826862405e+00 1.460538603488908294e+01 3.606165933124085843e-01
6.937827823718344007e+02 1.385991006118931709e-02 6.362741298825347336e-01 1.396121442834270809e-02 6.924061227592103478e+02 3.151347330652860129e-02 6.537606981648441673e-01 3.174989590435813719e-02 5.371252627051861595e+01 5.284907145376553039e+00 1.201910425512592298e+02 5.344702383996133399e+00 1.467865383890624820e+01 3.402206224205496232e-01
6.936005631708344481e+02 4.028274394825664441e-03 6.192633727979356406e-01 4.040884600719011656e-03 6.921424702711173040e+02 7.527378397569998124e-03 5.701395464277110303e-01 7.548981086752279586e-03 2.209172291772141534e+02 5.953616438856351500e+00 4.291622309229288703e+02 5.699279271464089192e+00 1.432019408777210323e+01 3.579895894083691688e-01
6.937251258280531374e+02 1.260704057004223555e-02 5.933184728108183981e-01 1.264820035455857701e-02 6.923344047631723015e+02 2.726815753014361771e-02 5.755190787429588228e-01 2.735430180019145577e-02 5.876948855176951270e+01 5.682379489565372310e+00 1.287345604912637498e+02 5.584293305174019117e+00 1.478412251607409189e+01 3.432680977424860114e-01
6.935514434935768122e+02 3.452618454403617344e-03 5.859480077160150735e-01 3.462284886066362144e-03 6.920909810617283711e+02 6.646754514581104667e-03 5.408615344133782532e-01 6.663834600894797885e-03 2.454566895986623933e+02 6.156872920509399272e+00 4.906324554221258722e+02 5.901281220389647864e+00 1.460155468211044116e+01 3.603099845678572888e-01
6.936836976493549400e+02 1.396034612735290968e-02 5.853834155133459394e-01 1.400518258284872038e-02 6.922943322791018090e+02 3.192777317913502583e-02 5.812741974095466668e-01 3.202930060231284903e-02 4.950982062633772074e+01 5.549929522454995379e+00 1.133441029945197869e+02 5.518124543156964101e+00 1.465459915729113760e+01 3.368982255023474370e-01
6.934819291198841711e+02 4.084086466188383696e-03 5.754082070693017359e-01 4.095259153395321150e-03 6.920404854359607043e+02 7.939115394085141317e-03 5.194606218807901188e-01 7.958615770620796823e-03 1.886325793647106082e+02 5.883988241498601113e+00 3.849847156478647889e+02 5.577753864054103339e+00 1.358670439015963893e+01 3.372999866964953020e-01
6.936464459649557739e+02 1.169139005891522975e-02 5.579430929042236142e-01 1.172353281019595204e-02 6.922451759991619156e+02 2.763455048714446097e-02 5.649950605517297664e-01 2.771119478976435957e-02 5.663807281937684479e+01 5.653021361761783936e+00 1.326956963408024421e+02 5.675821723667315410e+00 1.436903583904629755e+01 3.381769800783845370e-01
6.934478144782030995e+02 3.142779798222561025e-03 5.568231101817072703e-01 3.151069021812680400e-03 6.920084621577011603e+02 6.292630022085874374e-03 5.081497324311644581e-01 6.307701152969171811e-03 2.499949459971633985e+02 6.318249507168481216e+00 5.227009495829551042e+02 6.021834831177229397e+00 1.463575844230821232e+01 3.580755970891891238e-01
6.936140468128763814e+02 1.050095068523741737e-02 5.450504783667913244e-01 1.052858165391665039e-02 6.922134701486194217e+02 2.556682979529890931e-02 5.551766712019821082e-01 2.563506693741081366e-02 6.004768600114247334e+01 5.643641216087333490e+00 1.445039832134732478e+02 5.682702991200768494e+00 1.468379350794473481e+01 3.345530924768716496e-01
6.934093809774711872e+02 4.667580232963149806e-03 5.608292621601845829e-01 4.679981078266192730e-03 6.919793746132615979e+02 9.378787132869078128e-03 5.016689867256503010e-01 9.400968498544430563e-03 1.533986875040154985e+02 5.852924480682361263e+00 3.251121968887727576e+02 5.522991297038569947e+00 1.309844672849870406e+01 3.295557496274971743e-01
6.935823746148719238e+02 1.077825958658190988e-02 5.396268058311296523e-01 1.080642080221286619e-02 6.921932144113653749e+02 2.757688997866813638e-02 5.552867902093938657e-01 2.765073021969772019e-02 5.610109298838215608e+01 5.684272532863294813e+00 1.411266685756039010e+02 5.753520254614659102e+00 1.443972912693674360e+01 3.369920434158171774e-01
6.933923963965000894e+02 3.139052286869752160e-03 5.364675952930999525e-01 3.147021352104145166e-03 6.919656210273547003e+02 6.821880324950979103e-03 5.001595814229751191e-01 6.837955708520531035e-03 2.287683843674804791e+02 6.367619741000569711e+00 5.136327823975479987e+02 6.134280268811140857e+00 1.461004653126467190e+01 3.578737014066714073e-01
6.935699889593222451e+02 1.038742344030140104e-02 5.368315042382929558e-01 1.041390737654890493e-02 6.921691840636761981e+02 2.559779034358895117e-02 5.247237051545293740e-01 2.566126171472241785e-02 5.936073883911391391e+01 5.909519016940718572e+00 1.475966249723403507e+02 5.829277048426792618e+00 1.452551197857565057e+01 3.404025221344763041e-01
6.933832837387612926e+02 3.096170540618364830e-03 5.251754584622589928e-01 3.103865864825364022e-03 6.919495523848192988e+02 7.129076106739474714e-03 5.050999714244466254e-01 7.146044212086346582e-03 2.198681865027182596e+02 6.333091787251974303e+00 5.149517295957579108e+02 6.196383503876513821e+00 1.429940646337855625e+01 3.576418074067359565e-01
6.935673099030406092e+02 1.101006659210594825e-02 5.472216621781634815e-01 1.103862809151957836e-02 6.921598919196616180e+02 2.591253735059670729e-02 5.058758689406013254e-01 2.597433363411619928e-02 5.707715824551801376e+01 5.965616579031303601e+00 1.393617868784835423e+02 5.723196134187717554e+00 1.429806320496128436e+01 3.373865619012713646e-01
6.933750216042642478e+02 2.796788770978664296e-03 5.165741386634872256e-01 2.803627398918595148e-03 6.919392398349393716e+02 6.603716272593369678e-03 5.043858645120421480e-01 6.619415122937289710e-03 2.451130585627336700e+02 6.549329237888400712e+00 5.842719238383946276e+02 6.456379207607459314e+00 1.469400984520395959e+01 3.695362317941177643e-01
6.935575925456494133e+02 1.067296046759555646e-02 5.398967276628230394e-01 1.070028544771892132e-02 6.921527314510576616e+02 2.573267187137415896e-02 5.148415986234465835e-01 2.579516330921260980e-02 5.860034069708166271e+01 5.975773764441153268e+00 1.443098050910418806e+02 5.822672598832884461e+00 1.457532412414880696e+01 3.409535580486509065e-01
6.933693308447220716e+02 2.804152359310649670e-03 5.187872317051180904e-01 2.811038387202224355e-03 6.919322656246015413e+02 6.685426904242698469e-03 5.033947666654774444e-01 6.701287425215959014e-03 2.427434396078966188e+02 6.579340340783399022e+00 5.860801457647511370e+02 6.465716844768442328e+00 1.485299221422567051e+01 3.708643261943827540e-01
6.935265201452448309e+02 1.087197389321633255e-02 5.302507022860361019e-01 1.089950896166591923e-02 6.921190359111693624e+02 3.509942690172688368e-02 5.560960372822638664e-01 3.519222904357107579e-02 4.348043141638871134e+01 5.600518993769467713e+00 1.367292511140840645e+02 5.722091303709754939e+00 1.437188887963741202e+01 3.321733598811002497e-01
6.933226820594600213e+02 3.027605806946847070e-03 5.011937761243985268e-01 3.034780943063254601e-03 6.919217828662715419e+02 8.759751372051944457e-03 5.026751594864141692e-01 8.780485969855530287e-03 1.867222306797007434e+02 6.640640351552642429e+00 5.381753035366747326e+02 6.634928390321833902e+00 1.406034746192293916e+01 3.739478455460111261e-01
