#P I Flux Inorm
563 1431 0 0
564 1347 0 0
565 1329 0 0
566 1353 0 0
567 1396 0 0
568 1367 0 0
569 1438 0 0
570 1417 0 0
571 1343 0 0
572 1364 0 0
573 1370 0 0
574 1344 0 0
575 1406 0 0
576 1400 0 0
577 1371 0 0
578 1364 0 0
579 1373 0 0
580 1364 0 0
581 1351 0 0
582 1337 0 0
583 1373 0 0
584 1342 0 0
585 1374 0 0
586 1368 0 0
587 1428 0 0
588 1387 0 0
589 1387 0 0
590 1345 0 0
591 1364 0 0
592 1325 0 0
593 1350 0 0
594 1339 0 0
595 1360 0 0
596 1279 0 0
597 1349 0 0
598 1344 0 0
599 1369 0 0
600 1385 0 0
601 1403 0 0
602 1302 0 0
603 1363 0 0
604 1387 0 0
605 1276 0 0
606 1297 0 0
607 1286 0 0
608 1312 0 0
609 1321 0 0
610 1323 0 0
611 1285 0 0
612 1291 0 0
613 1388 0 0
614 1348 0 0
615 1323 0 0
616 1350 0 0
617 1334 0 0
618 1330 0 0
619 1331 0 0
620 1325 0 0
621 1362 0 0
622 1328 0 0
623 1326 0 0
624 1339 0 0
625 1336 0 0
626 1362 0 0
627 1417 0 0
628 1318 0 0
629 1330 0 0
630 1263 0 0
631 1308 0 0
632 1318 0 0
633 1274 0 0
634 1367 0 0
635 1339 0 0
636 1380 0 0
637 1355 0 0
638 1303 0 0
639 1336 0 0
640 1357 0 0
641 1310 0 0
642 1337 0 0
643 1308 0 0
644 1286 0 0
645 1348 0 0
646 1313 0 0
647 1326 0 0
648 1315 0 0
649 1278 0 0
650 1330 0 0
651 1327 0 0
652 1370 0 0
653 1333 0 0
654 1272 0 0
655 1306 0 0
656 1308 0 0
657 1334 0 0
658 1276 0 0
659 1287 0 0
660 1303 0 0
661 1310 0 0
662 1284 0 0
663 1246 0 0
664 1278 0 0
665 1285 0 0
666 1305 0 0
667 1333 0 0
668 1317 0 0
669 1269 0 0
670 1313 0 0
671 1295 0 0
672 1303 0 0
673 1314 0 0
674 1287 0 0
675 1271 0 0
676 1315 0 0
677 1305 0 0
678 1251 0 0
679 1300 0 0
680 1310 0 0
681 1306 0 0
682 1293 0 0
683 1256 0 0
684 1324 0 0
685 1255 0 0
686 1300 0 0
687 1280 0 0
688 1278 0 0
689 1330 0 0
690 1254 0 0
691 1238 0 0
692 1263 0 0
693 1212 0 0
694 1253 0 0
695 1265 0 0
696 1267 0 0
697 1347 0 0
698 1295 0 0
699 1205 0 0
700 1296 0 0
701 1317 0 0
702 1305 0 0
703 1268 0 0
704 1238 0 0
705 1312 0 0
706 1303 0 0
707 1252 0 0
708 1251 0 0
709 1355 0 0
710 1237 0 0
711 1278 0 0
712 1248 0 0
713 1305 0 0
714 1285 0 0
715 1329 0 0
716 1231 0 0
717 1248 0 0
718 1305 0 0
719 1251 0 0
720 1294 0 0
721 1360 0 0
722 1237 0 0
723 1286 0 0
724 1281 0 0
725 1303 0 0
726 1314 0 0
727 1267 0 0
728 1231 0 0
729 1316 0 0
730 1274 0 0
731 1243 0 0
732 1272 0 0
733 1264 0 0
734 1255 0 0
735 1270 0 0
736 1292 0 0
737 1154 0 0
738 1252 0 0
739 1257 0 0
740 1289 0 0
741 1225 0 0
742 1231 0 0
743 1241 0 0
744 1248 0 0
745 1223 0 0
746 1304 0 0
747 1306 0 0
748 1297 0 0
749 1257 0 0
750 1291 0 0
751 1302 0 0
752 1275 0 0
753 1186 0 0
754 1275 0 0
755 1305 0 0
756 1208 0 0
757 1244 0 0
758 1287 0 0
759 1245 0 0
760 1220 0 0
761 1277 0 0
762 1226 0 0
763 1298 0 0
764 1238 0 0
765 1269 0 0
766 1274 0 0
767 1258 0 0
768 1175 0 0
769 1283 0 0
770 1322 0 0
771 1251 0 0
772 1246 0 0
773 1282 0 0
774 1319 0 0
775 1283 0 0
776 1285 0 0
777 1301 0 0
778 1247 0 0
779 1265 0 0
780 1235 0 0
781 1325 0 0
782 1242 0 0
783 1256 0 0
784 1284 0 0
785 1373 0 0
786 1299 0 0
787 1299 0 0
788 1270 0 0
789 1352 0 0
790 1241 0 0
791 1270 0 0
792 1288 0 0
793 1268 0 0
794 1223 0 0
795 1278 0 0
796 1265 0 0
797 1290 0 0
798 1305 0 0
799 1226 0 0
800 1297 0 0
801 1284 0 0
802 1210 0 0
803 1232 0 0
804 1250 0 0
805 1297 0 0
806 1280 0 0
807 1221 0 0
808 1254 0 0
809 1238 0 0
810 1265 0 0
811 1221 0 0
812 1254 0 0
813 1303 0 0
814 1241 0 0
815 1306 0 0
816 1210 0 0
817 1276 0 0
818 1285 0 0
819 1222 0 0
820 1234 0 0
821 1202 0 0
822 1279 0 0
823 1222 0 0
824 1249 0 0
825 1255 0 0
826 1258 0 0
827 1279 0 0
828 1261 0 0
829 1226 0 0
830 1288 0 0
831 1230 0 0
832 1197 0 0
833 1202 0 0
834 1230 0 0
835 1253 0 0
836 1185 0 0
837 1247 0 0
838 1199 0 0
839 1278 0 0
840 1230 0 0
841 1201 0 0
842 1300 0 0
843 1171 0 0
844 1197 0 0
845 1235 0 0
846 1275 0 0
847 1170 0 0
848 1243 0 0
849 1214 0 0
850 1226 0 0
851 1204 0 0
852 1243 0 0
853 1275 0 0
854 1175 0 0
855 1211 0 0
856 1268 0 0
857 1213 0 0
858 1250 0 0
859 1226 0 0
860 1200 0 0
861 1207 0 0
862 1186 0 0
863 1282 0 0
864 1244 0 0
865 1216 0 0
866 1231 0 0
867 1242 0 0
868 1195 0 0
869 1315 0 0
870 1264 0 0
871 1272 0 0
872 1199 0 0
873 1275 0 0
874 1174 0 0
875 1232 0 0
876 1190 0 0
877 1265 0 0
878 1244 0 0
879 1235 0 0
880 1251 0 0
881 1289 0 0
882 1266 0 0
883 1211 0 0
884 1228 0 0
885 1211 0 0
886 1209 0 0
887 1234 0 0
888 1269 0 0
889 1194 0 0
890 1271 0 0
891 1239 0 0
892 1215 0 0
893 1252 0 0
894 1238 0 0
895 1255 0 0
896 1225 0 0
897 1295 0 0
898 1228 0 0
899 1213 0 0
900 1283 0 0
901 1313 0 0
902 1226 0 0
903 1249 0 0
904 1208 0 0
905 1235 0 0
906 1175 0 0
907 1256 0 0
908 1225 0 0
909 1210 0 0
910 1153 0 0
911 1228 0 0
912 1291 0 0
913 1240 0 0
914 1256 0 0
915 1215 0 0
916 1231 0 0
917 1306 0 0
918 1273 0 0
919 1335 0 0
920 1229 0 0
921 1228 0 0
