#P I Flux Inorm
861 1171 0 0
862 1172 0 0
863 1224 0 0
864 1122 0 0
865 1203 0 0
866 1202 0 0
867 1177 0 0
868 1150 0 0
869 1196 0 0
870 1156 0 0
871 1128 0 0
872 1128 0 0
873 1209 0 0
874 1232 0 0
875 1137 0 0
876 1115 0 0
877 1112 0 0
878 1166 0 0
879 1187 0 0
880 1144 0 0
881 1136 0 0
882 1157 0 0
883 1221 0 0
884 1182 0 0
885 1261 0 0
886 1187 0 0
887 1191 0 0
888 1198 0 0
889 1175 0 0
890 1188 0 0
891 1104 0 0
892 1221 0 0
893 1175 0 0
894 1222 0 0
895 1197 0 0
896 1167 0 0
897 1135 0 0
898 1254 0 0
899 1181 0 0
900 1152 0 0
901 1258 0 0
902 1191 0 0
903 1224 0 0
904 1208 0 0
905 1190 0 0
906 1135 0 0
907 1224 0 0
908 1163 0 0
909 1193 0 0
910 1156 0 0
911 1238 0 0
912 1225 0 0
913 1171 0 0
914 1186 0 0
915 1127 0 0
916 1191 0 0
917 1148 0 0
918 1215 0 0
919 1209 0 0
920 1201 0 0
921 1199 0 0
922 1147 0 0
923 1219 0 0
924 1177 0 0
925 1116 0 0
926 1168 0 0
927 1191 0 0
928 1177 0 0
929 1203 0 0
930 1186 0 0
931 1233 0 0
932 1423 0 0
933 1207 0 0
934 1253 0 0
935 1192 0 0
936 1189 0 0
937 1207 0 0
938 1207 0 0
939 1162 0 0
940 1196 0 0
941 1144 0 0
942 1184 0 0
943 1188 0 0
944 1205 0 0
945 1215 0 0
946 1174 0 0
947 1182 0 0
948 1169 0 0
949 1250 0 0
950 1200 0 0
951 1216 0 0
952 1194 0 0
953 1219 0 0
954 1249 0 0
955 1193 0 0
956 1272 0 0
957 1187 0 0
958 1284 0 0
959 1226 0 0
960 1162 0 0
961 1194 0 0
962 1134 0 0
963 1196 0 0
964 1248 0 0
965 1350 0 0
966 1215 0 0
967 1214 0 0
968 1188 0 0
969 1163 0 0
970 1190 0 0
971 1198 0 0
972 1164 0 0
973 1204 0 0
974 1272 0 0
975 1199 0 0
976 1135 0 0
977 1232 0 0
978 1238 0 0
979 1254 0 0
980 1212 0 0
981 1163 0 0
982 1196 0 0
983 1229 0 0
984 1204 0 0
985 1252 0 0
986 1203 0 0
987 1240 0 0
988 1231 0 0
989 1159 0 0
990 1231 0 0
991 1218 0 0
992 1163 0 0
993 1195 0 0
994 1224 0 0
995 1225 0 0
996 1179 0 0
997 1173 0 0
998 1154 0 0
999 1239 0 0
1000 1210 0 0
1001 1158 0 0
1002 1223 0 0
1003 1193 0 0
1004 1173 0 0
1005 1246 0 0
1006 1191 0 0
1007 1291 0 0
1008 1259 0 0
1009 1251 0 0
1010 1140 0 0
1011 1182 0 0
1012 1226 0 0
1013 1234 0 0
1014 1171 0 0
1015 1192 0 0
1016 1200 0 0
1017 1247 0 0
1018 1190 0 0
1019 1215 0 0
1020 1233 0 0
1021 1183 0 0
1022 1169 0 0
1023 1317 0 0
1024 1189 0 0
1025 1210 0 0
1026 1240 0 0
1027 1193 0 0
1028 1210 0 0
1029 1210 0 0
1030 1173 0 0
1031 1196 0 0
1032 1243 0 0
1033 1221 0 0
1034 1171 0 0
1035 1223 0 0
1036 1234 0 0
1037 1248 0 0
1038 1216 0 0
1039 1188 0 0
1040 1173 0 0
1041 1221 0 0
1042 1202 0 0
1043 1178 0 0
1044 1270 0 0
1045 1214 0 0
1046 1205 0 0
1047 1212 0 0
1048 1225 0 0
1049 1275 0 0
1050 1265 0 0
1051 1245 0 0
1052 1229 0 0
1053 1171 0 0
1054 1167 0 0
1055 1224 0 0
1056 1180 0 0
1057 1214 0 0
1058 1176 0 0
1059 1259 0 0
1060 1228 0 0
1061 1244 0 0
1062 1244 0 0
1063 1245 0 0
1064 1155 0 0
1065 1184 0 0
1066 1214 0 0
1067 1215 0 0
1068 1215 0 0
1069 1210 0 0
1070 1185 0 0
1071 1250 0 0
1072 1179 0 0
1073 1173 0 0
1074 1209 0 0
1075 1298 0 0
1076 1236 0 0
1077 1209 0 0
1078 1249 0 0
1079 1169 0 0
1080 1200 0 0
1081 1216 0 0
1082 1258 0 0
1083 1205 0 0
1084 1265 0 0
1085 1178 0 0
1086 1166 0 0
1087 1294 0 0
1088 1159 0 0
1089 1222 0 0
1090 1239 0 0
1091 1244 0 0
1092 1194 0 0
1093 1276 0 0
1094 1282 0 0
1095 1211 0 0
1096 1293 0 0
1097 1249 0 0
1098 1168 0 0
1099 1289 0 0
